Nível,Código,Codes,parent_code,Designação
4,1601,1111601,1111601,"Arcos de Valdevez"
4,1602,1111602,1111602,"Caminha"
4,1603,1111603,1111603,"Melgaço"
4,1604,1111604,1111604,"Monção"
4,1605,1111605,1111605,"Paredes de Coura"
4,1606,1111606,1111606,"Ponte da Barca"
4,1607,1111607,1111607,"Ponte de Lima"
4,1608,1111608,1111608,"Valença"
4,1609,1111609,1111609,"Viana do Castelo"
4,1610,1111610,1111610,"Vila Nova de Cerveira"
4,0301,1120301,1120301,"Amares"
4,0302,1120302,1120302,"Barcelos"
4,0303,1120303,1120303,"Braga"
4,0306,1120306,1120306,"Esposende"
4,0310,1120310,1120310,"Terras de Bouro"
4,0313,1120313,1120313,"Vila Verde"
4,0304,1190304,1190304,"Cabeceiras de Basto"
4,0307,1190307,1190307,"Fafe"
4,0308,1190308,1190308,"Guimarães"
4,1705,1191705,1191705,"Mondim de Basto"
4,0309,1190309,1190309,"Póvoa de Lanhoso"
4,0311,1190311,1190311,"Vieira do Minho"
4,0312,1190312,1190312,"Vila Nova de Famalicão"
4,0314,1190314,1190314,"Vizela"
4,0104,11A0104,11A0104,"Arouca"
4,0107,11A0107,11A0107,"Espinho"
4,1304,11A1304,11A1304,"Gondomar"
4,1306,11A1306,11A1306,"Maia"
4,1308,11A1308,11A1308,"Matosinhos"
4,0113,11A0113,11A0113,"Oliveira de Azeméis"
4,1310,11A1310,11A1310,"Paredes"
4,1312,11A1312,11A1312,"Porto"
4,1313,11A1313,11A1313,"Póvoa de Varzim"
4,0109,11A0109,11A0109,"Santa Maria da Feira"
4,1314,11A1314,11A1314,"Santo Tirso"
4,0116,11A0116,11A0116,"São João da Madeira"
4,1318,11A1318,11A1318,"Trofa"
4,0119,11A0119,11A0119,"Vale de Cambra"
4,1315,11A1315,11A1315,"Valongo"
4,1316,11A1316,11A1316,"Vila do Conde"
4,1317,11A1317,11A1317,"Vila Nova de Gaia"
4,1702,11B1702,11B1702,"Boticas"
4,1703,11B1703,11B1703,"Chaves"
4,1706,11B1706,11B1706,"Montalegre"
4,1709,11B1709,11B1709,"Ribeira de Pena"
4,1712,11B1712,11B1712,"Valpaços"
4,1713,11B1713,11B1713,"Vila Pouca de Aguiar"
4,1301,11C1301,11C1301,"Amarante"
4,1302,11C1302,11C1302,"Baião"
4,0106,11C0106,11C0106,"Castelo de Paiva"
4,0305,11C0305,11C0305,"Celorico de Basto"
4,1804,11C1804,11C1804,"Cinfães"
4,1303,11C1303,11C1303,"Felgueiras"
4,1305,11C1305,11C1305,"Lousada"
4,1307,11C1307,11C1307,"Marco de Canaveses"
4,1309,11C1309,11C1309,"Paços de Ferreira"
4,1311,11C1311,11C1311,"Penafiel"
4,1813,11C1813,11C1813,"Resende"
4,1701,11D1701,11D1701,"Alijó"
4,1801,11D1801,11D1801,"Armamar"
4,0403,11D0403,11D0403,"Carrazeda de Ansiães"
4,0404,11D0404,11D0404,"Freixo de Espada à Cinta"
4,1805,11D1805,11D1805,"Lamego"
4,1704,11D1704,11D1704,"Mesão Frio"
4,1807,11D1807,11D1807,"Moimenta da Beira"
4,1707,11D1707,11D1707,"Murça"
4,1812,11D1812,11D1812,"Penedono"
4,1708,11D1708,11D1708,"Peso da Régua"
4,1710,11D1710,11D1710,"Sabrosa"
4,1711,11D1711,11D1711,"Santa Marta de Penaguião"
4,1815,11D1815,11D1815,"São João da Pesqueira"
4,1818,11D1818,11D1818,"Sernancelhe"
4,1819,11D1819,11D1819,"Tabuaço"
4,1820,11D1820,11D1820,"Tarouca"
4,0409,11D0409,11D0409,"Torre de Moncorvo"
4,0914,11D0914,11D0914,"Vila Nova de Foz Côa"
4,1714,11D1714,11D1714,"Vila Real"
4,0401,11E0401,11E0401,"Alfândega da Fé"
4,0402,11E0402,11E0402,"Bragança"
4,0405,11E0405,11E0405,"Macedo de Cavaleiros"
4,0406,11E0406,11E0406,"Miranda do Douro"
