primary_key,Codes,livestock,year,quantity
1,PT,Cattle,1989,1401206
2,PT,Cattle,1999,1415188
3,PT,Cattle,2009,1430285
4,PT,Pigs,1989,2439199
5,PT,Pigs,1999,2418426
6,PT,Pigs,2009,1913161
7,PT,Sheep,1989,2926278
8,PT,Sheep,1999,2929765
9,PT,Sheep,2009,2219639
10,PT,Goats,1989,720522
11,PT,Goats,1999,537241
12,PT,Goats,2009,420711
13,PT,Equidae,1989,150890
14,PT,Equidae,1999,96471
15,PT,Equidae,2009,56014
16,PT,Poultry,1989,31152651
17,PT,Poultry,1999,42631471
18,PT,Poultry,2009,35351548
19,PT,Rabbits,1989,480294
20,PT,Rabbits,1999,1673702
21,PT,Rabbits,2009,1395143
22,1,Cattle,1989,1196077
23,1,Cattle,1999,1172437
24,1,Cattle,2009,1177019
25,1,Pigs,1989,2380233
26,1,Pigs,1999,2332864
27,1,Pigs,2009,1854306
28,1,Sheep,1989,2912043
29,1,Sheep,1999,2917719
30,1,Sheep,2009,2211173
31,1,Goats,1989,697471
32,1,Goats,1999,519018
33,1,Goats,2009,405627
34,1,Equidae,1989,140862
35,1,Equidae,1999,90544
36,1,Equidae,2009,53243
37,1,Poultry,1989,30140943
38,1,Poultry,1999,41397586
39,1,Poultry,2009,34369250
40,1,Rabbits,1989,474660
41,1,Rabbits,1999,1654957
42,1,Rabbits,2009,1358415
43,11,Cattle,1989,461919
44,11,Cattle,1999,400258
45,11,Cattle,2009,325274
46,11,Pigs,1989,226748
47,11,Pigs,1999,179863
48,11,Pigs,2009,78128
49,11,Sheep,1989,423387
50,11,Sheep,1999,466402
51,11,Sheep,2009,398874
52,11,Goats,1989,196504
53,11,Goats,1999,139724
54,11,Goats,2009,111825
55,11,Equidae,1989,54074
56,11,Equidae,1999,38034
57,11,Equidae,2009,24766
58,11,Poultry,1989,5026973
59,11,Poultry,1999,4418914
60,11,Poultry,2009,3412718
61,11,Rabbits,1989,177671
62,11,Rabbits,1999,581444
63,11,Rabbits,2009,734646
64,111,Cattle,1989,57562
65,111,Cattle,1999,39720
66,111,Cattle,2009,28345
67,111,Pigs,1989,21096
68,111,Pigs,1999,10863
69,111,Pigs,2009,5089
70,111,Sheep,1989,52735
71,111,Sheep,1999,56936
72,111,Sheep,2009,51210
73,111,Goats,1989,21401
74,111,Goats,1999,19093
75,111,Goats,2009,14409
76,111,Equidae,1989,1576
77,111,Equidae,1999,3361
78,111,Equidae,2009,4663
79,111,Poultry,1989,819931
80,111,Poultry,1999,701001
